school,name,title,website
stanford,Amin Arbabian,Assistant Professor,http://profiles.stanford.edu/amin-arbabian
stanford,Nicholas Bambos,Professor,http://profiles.stanford.edu/nicholas-bambos
stanford,Kwabena Boahen,Professor,http://profiles.stanford.edu/kwabena-boahen
stanford,Dan Boneh,Professor,http://profiles.stanford.edu/dan-boneh
stanford,Stephen P. Boyd,Professor,http://profiles.stanford.edu/stephen-boyd
stanford,Bill Dally,Professor (Research),http://profiles.stanford.edu/william-dally
stanford,John Duchi,Assistant Professor,http://profiles.stanford.edu/john-duchi
stanford,Robert Dutton,Professor,http://profiles.stanford.edu/robert-dutton
stanford,Abbas El Gamal,Professor,http://profiles.stanford.edu/abbas-el-gamal
stanford,Dawson Engler,Associate Professor,http://profiles.stanford.edu/dawson-engler
stanford,Jonathan Fan,Assistant Professor,http://profiles.stanford.edu/jonathan-fan
stanford,Shanhui Fan,Professor,http://profiles.stanford.edu/shanhui-fan
stanford,Bernd Girod,Professor,http://profiles.stanford.edu/bernd-girod
stanford,Andrea Goldsmith,Professor,http://profiles.stanford.edu/andrea-goldsmith
stanford,Patrick M. Hanrahan,Professor,http://profiles.stanford.edu/patrick-hanrahan
stanford,James S. Harris,Professor,http://profiles.stanford.edu/james-harris
stanford,John L. Hennessy,Professor,https://hennessy.stanford.edu
stanford,Lambertus Hesselink,Professor,http://profiles.stanford.edu/lambertus-hesselink
stanford,Mark A. Horowitz,Professor,http://profiles.stanford.edu/mark-horowitz
stanford,Roger T. Howe,Professor,http://profiles.stanford.edu/roger-howe
stanford,Joseph M. Kahn,Professor,http://profiles.stanford.edu/joseph-kahn
stanford,Sachin Katti,Associate Professor,http://profiles.stanford.edu/sachin-katti
stanford,Butrus Khuri-Yakub,Professor (Research),http://profiles.stanford.edu/butrus-khuri-yakub
stanford,Christos Kozyrakis,Professor,http://profiles.stanford.edu/christoforos-kozyrakis
stanford,Sanjay Lall,Professor,http://profiles.stanford.edu/sanjay-lall
stanford,Thomas Lee,Professor,http://profiles.stanford.edu/thomas-lee
stanford,Philip Levis,Associate Professor,http://profiles.stanford.edu/philip-levis
stanford,Nick McKeown,Professor,http://profiles.stanford.edu/nick-mckeown
stanford,David A. B. Miller,Professor,http://profiles.stanford.edu/david-miller
stanford,Subhasish Mitra,Professor,http://profiles.stanford.edu/subhasish-mitra
stanford,Andrea Montanari,Professor,http://profiles.stanford.edu/andrea-montanari
stanford,Boris Murmann,Professor,http://profiles.stanford.edu/boris-murmann
stanford,Dwight G. Nishimura,Professor,http://profiles.stanford.edu/dwight-nishimura
stanford,Kunle A. Olukotun,Professor,http://profiles.stanford.edu/oyekunle-olukotun
stanford,Brad Osgood,Professor,http://profiles.stanford.edu/brad-osgood
stanford,Ayfer Ozgur,Assistant Professor,http://profiles.stanford.edu/ayfer-ozgur-aydin
stanford,John M. Pauly,Professor,http://profiles.stanford.edu/john-pauly
stanford,Piero A. Pianetta,Professor (Research),http://profiles.stanford.edu/piero-pianetta
stanford,Mert Pilanci,Assistant Professor,http://profiles.stanford.edu/mert-pilanci
stanford,James D. Plummer,Professor,http://profiles.stanford.edu/jim-plummer
stanford,Ada Poon,Associate Professor,http://profiles.stanford.edu/ada-poon
stanford,Eric Pop,Associate Professor,http://profiles.stanford.edu/epop
stanford,Balaji Prabhakar,Professor,http://profiles.stanford.edu/balaji-prabhakar
stanford,Juan Rivas,Assistant Professor,http://profiles.stanford.edu/juan-rivas-davila
stanford,Mendel Rosenblum,Professor,http://profiles.stanford.edu/mendel-rosenblum
stanford,Krishna Saraswat,Professor,http://profiles.stanford.edu/krishna-saraswat
stanford,Krishna Shenoy,Professor,http://profiles.stanford.edu/krishna-shenoy
stanford,H. Tom Soh,Professor,http://profiles.stanford.edu/hyongsok-soh
stanford,Olav Solgaard,Professor,http://profiles.stanford.edu/olav-solgaard
stanford,Fouad A. Tobagi,Professor,http://profiles.stanford.edu/fouad-tobagi
stanford,David Tse,Professor,http://profiles.stanford.edu/david-tse
stanford,Benjamin Van Roy,Professor,http://profiles.stanford.edu/benjamin-van-roy
stanford,Jelena Vuckovic,Professor,http://profiles.stanford.edu/jelena-vuckovic
stanford,Shan X. Wang,Professor,http://profiles.stanford.edu/shan-wang
stanford,Tsachy Weissman,Professor,http://profiles.stanford.edu/itschak-weissman
stanford,Gordon Wetzstein,Assistant Professor,http://profiles.stanford.edu/gordon-wetzstein
stanford,Jennifer Widom,Professor,http://profiles.stanford.edu/jennifer-widom
stanford,H.-S. Philip Wong,Professor,http://profiles.stanford.edu/philip-wong
stanford,S. Simon Wong,Professor,http://profiles.stanford.edu/s-simon-wong
stanford,Howard Zebker,Professor,http://profiles.stanford.edu/howard-zebker
